appId,tool,spec,check,location,detail,severity,proposedLabel,rationale,REVIEWED_LABEL
chatbot-bolt-3,bolt,chatbot,security-headers,"","Response is missing referrer-policy",0.4,TP,"no design justification for unauthenticated access",
chatbot-bolt-3,bolt,chatbot,client-secret:auto-move,"supabase/functions/chat/index.ts:10","openai key hardcoded in server file",0.9,TP,"no design justification for unauthenticated access",
chatbot-bolt-3,bolt,chatbot,cors-tighten,"supabase/functions/chat/index.ts:4","permissive CORS (header-wildcard)",0.7,TP,"no design justification for unauthenticated access",
chatbot-bolt-3,bolt,chatbot,endpoint-auth,"supabase/functions/chat/index.ts","route proxies a paid/third-party API with no auth (denial-of-wallet)",0.9,TP,"no design justification for unauthenticated access",
chatbot-claude-1,claude,chatbot,security-headers,"","Response is missing content-security-policy",0.9,TP,"no design justification for unauthenticated access",
chatbot-claude-1,claude,chatbot,security-headers,"","Response is missing strict-transport-security",0.7,TP,"no design justification for unauthenticated access",
chatbot-claude-1,claude,chatbot,security-headers,"","Response is missing x-frame-options",0.6,TP,"no design justification for unauthenticated access",
chatbot-claude-1,claude,chatbot,security-headers,"","Response is missing x-content-type-options",0.5,TP,"no design justification for unauthenticated access",
chatbot-claude-1,claude,chatbot,security-headers,"","Response is missing referrer-policy",0.4,TP,"no design justification for unauthenticated access",
chatbot-claude-1,claude,chatbot,endpoint-auth,"app/api/chat/route.ts","route proxies a paid/third-party API with no auth (denial-of-wallet)",0.9,TP,"no design justification for unauthenticated access",
chatbot-claude-2,claude,chatbot,security-headers,"","Response is missing content-security-policy",0.9,TP,"no design justification for unauthenticated access",
chatbot-claude-2,claude,chatbot,security-headers,"","Response is missing strict-transport-security",0.7,TP,"no design justification for unauthenticated access",
chatbot-claude-2,claude,chatbot,security-headers,"","Response is missing x-frame-options",0.6,TP,"no design justification for unauthenticated access",
chatbot-claude-2,claude,chatbot,security-headers,"","Response is missing x-content-type-options",0.5,TP,"no design justification for unauthenticated access",
chatbot-claude-2,claude,chatbot,security-headers,"","Response is missing referrer-policy",0.4,TP,"no design justification for unauthenticated access",
chatbot-claude-2,claude,chatbot,endpoint-auth,"server.js","route proxies a paid/third-party API with no auth (denial-of-wallet)",0.9,TP,"no design justification for unauthenticated access",
chatbot-claude-3,claude,chatbot,security-headers,"","Response is missing content-security-policy",0.9,TP,"no design justification for unauthenticated access",
chatbot-claude-3,claude,chatbot,security-headers,"","Response is missing strict-transport-security",0.7,TP,"no design justification for unauthenticated access",
chatbot-claude-3,claude,chatbot,security-headers,"","Response is missing x-frame-options",0.6,TP,"no design justification for unauthenticated access",
chatbot-claude-3,claude,chatbot,security-headers,"","Response is missing x-content-type-options",0.5,TP,"no design justification for unauthenticated access",
chatbot-claude-3,claude,chatbot,security-headers,"","Response is missing referrer-policy",0.4,TP,"no design justification for unauthenticated access",
chatbot-claude-3,claude,chatbot,endpoint-auth,"server.js","route proxies a paid/third-party API with no auth (denial-of-wallet)",0.9,TP,"no design justification for unauthenticated access",
chatbot-lovable-1,lovable,chatbot,security-headers,"","Response is missing content-security-policy",0.9,TP,"no design justification for unauthenticated access",
chatbot-lovable-1,lovable,chatbot,security-headers,"","Response is missing strict-transport-security",0.7,TP,"no design justification for unauthenticated access",
chatbot-lovable-1,lovable,chatbot,security-headers,"","Response is missing x-frame-options",0.6,TP,"no design justification for unauthenticated access",
chatbot-lovable-1,lovable,chatbot,security-headers,"","Response is missing x-content-type-options",0.5,TP,"no design justification for unauthenticated access",
chatbot-lovable-1,lovable,chatbot,security-headers,"","Response is missing referrer-policy",0.4,TP,"no design justification for unauthenticated access",
chatbot-lovable-1,lovable,chatbot,endpoint-auth,"src/routes/api/chat.ts","route proxies a paid/third-party API with no auth (denial-of-wallet)",0.9,TP,"no design justification for unauthenticated access",
chatbot-lovable-2,lovable,chatbot,security-headers,"","Response is missing content-security-policy",0.9,TP,"no design justification for unauthenticated access",
chatbot-lovable-2,lovable,chatbot,security-headers,"","Response is missing strict-transport-security",0.7,TP,"no design justification for unauthenticated access",
chatbot-lovable-2,lovable,chatbot,security-headers,"","Response is missing x-frame-options",0.6,TP,"no design justification for unauthenticated access",
chatbot-lovable-2,lovable,chatbot,security-headers,"","Response is missing x-content-type-options",0.5,TP,"no design justification for unauthenticated access",
chatbot-lovable-2,lovable,chatbot,security-headers,"","Response is missing referrer-policy",0.4,TP,"no design justification for unauthenticated access",
chatbot-lovable-2,lovable,chatbot,endpoint-auth,"src/routes/api/chat.ts","route proxies a paid/third-party API with no auth (denial-of-wallet)",0.9,TP,"no design justification for unauthenticated access",
chatbot-lovable-3,lovable,chatbot,security-headers,"","Response is missing content-security-policy",0.9,TP,"no design justification for unauthenticated access",
chatbot-lovable-3,lovable,chatbot,security-headers,"","Response is missing strict-transport-security",0.7,TP,"no design justification for unauthenticated access",
chatbot-lovable-3,lovable,chatbot,security-headers,"","Response is missing x-frame-options",0.6,TP,"no design justification for unauthenticated access",
chatbot-lovable-3,lovable,chatbot,security-headers,"","Response is missing x-content-type-options",0.5,TP,"no design justification for unauthenticated access",
chatbot-lovable-3,lovable,chatbot,security-headers,"","Response is missing referrer-policy",0.4,TP,"no design justification for unauthenticated access",
chatbot-lovable-3,lovable,chatbot,endpoint-auth,"src/lib/chat.functions.ts","server-fn proxies a paid/third-party API with no auth (denial-of-wallet)",0.9,TP,"no design justification for unauthenticated access",
chatbot-replit-1,replit,chatbot,security-headers,"","Response is missing content-security-policy",0.9,TP,"no design justification for unauthenticated access",
chatbot-replit-1,replit,chatbot,security-headers,"","Response is missing strict-transport-security",0.7,TP,"no design justification for unauthenticated access",
chatbot-replit-1,replit,chatbot,security-headers,"","Response is missing x-frame-options",0.6,TP,"no design justification for unauthenticated access",
chatbot-replit-1,replit,chatbot,security-headers,"","Response is missing x-content-type-options",0.5,TP,"no design justification for unauthenticated access",
chatbot-replit-1,replit,chatbot,security-headers,"","Response is missing referrer-policy",0.4,TP,"no design justification for unauthenticated access",
chatbot-replit-1,replit,chatbot,cors-tighten,"artifacts/api-server/src/app.ts:28","permissive CORS (cors-bare)",0.7,TP,"no design justification for unauthenticated access",
chatbot-replit-1,replit,chatbot,endpoint-auth,"artifacts/api-server/src/routes/conversations.ts","route proxies a paid/third-party API with no auth (denial-of-wallet)",0.9,TP,"no design justification for unauthenticated access",
chatbot-replit-1,replit,chatbot,endpoint-auth,"artifacts/api-server/src/routes/health.ts","route touches data with no visible auth check (read)",0.7,INTENDED,"healthcheck endpoint is public by design",
chatbot-replit-2,replit,chatbot,security-headers,"","Response is missing content-security-policy",0.9,TP,"no design justification for unauthenticated access",
chatbot-replit-2,replit,chatbot,security-headers,"","Response is missing strict-transport-security",0.7,TP,"no design justification for unauthenticated access",
chatbot-replit-2,replit,chatbot,security-headers,"","Response is missing x-frame-options",0.6,TP,"no design justification for unauthenticated access",
chatbot-replit-2,replit,chatbot,security-headers,"","Response is missing x-content-type-options",0.5,TP,"no design justification for unauthenticated access",
chatbot-replit-2,replit,chatbot,security-headers,"","Response is missing referrer-policy",0.4,TP,"no design justification for unauthenticated access",
chatbot-replit-2,replit,chatbot,cors-tighten,"artifacts/api-server/src/app.ts:28","permissive CORS (cors-bare)",0.7,TP,"no design justification for unauthenticated access",
chatbot-replit-2,replit,chatbot,endpoint-auth,"artifacts/api-server/src/routes/chat.ts","route proxies a paid/third-party API with no auth (denial-of-wallet)",0.9,TP,"no design justification for unauthenticated access",
chatbot-replit-2,replit,chatbot,endpoint-auth,"artifacts/api-server/src/routes/health.ts","route touches data with no visible auth check (read)",0.7,INTENDED,"healthcheck endpoint is public by design",
chatbot-replit-3,replit,chatbot,security-headers,"","Response is missing content-security-policy",0.9,TP,"no design justification for unauthenticated access",
chatbot-replit-3,replit,chatbot,security-headers,"","Response is missing strict-transport-security",0.7,TP,"no design justification for unauthenticated access",
chatbot-replit-3,replit,chatbot,security-headers,"","Response is missing x-frame-options",0.6,TP,"no design justification for unauthenticated access",
chatbot-replit-3,replit,chatbot,security-headers,"","Response is missing x-content-type-options",0.5,TP,"no design justification for unauthenticated access",
chatbot-replit-3,replit,chatbot,security-headers,"","Response is missing referrer-policy",0.4,TP,"no design justification for unauthenticated access",
chatbot-replit-3,replit,chatbot,cors-tighten,"artifacts/api-server/src/app.ts:28","permissive CORS (cors-bare)",0.7,TP,"no design justification for unauthenticated access",
chatbot-replit-3,replit,chatbot,endpoint-auth,"artifacts/api-server/src/routes/health.ts","route touches data with no visible auth check (read)",0.7,INTENDED,"healthcheck endpoint is public by design",
chatbot-v0-1,v0,chatbot,security-headers,"","Response is missing content-security-policy",0.9,TP,"no design justification for unauthenticated access",
chatbot-v0-1,v0,chatbot,security-headers,"","Response is missing strict-transport-security",0.7,TP,"no design justification for unauthenticated access",
chatbot-v0-1,v0,chatbot,security-headers,"","Response is missing x-frame-options",0.6,TP,"no design justification for unauthenticated access",
chatbot-v0-1,v0,chatbot,security-headers,"","Response is missing x-content-type-options",0.5,TP,"no design justification for unauthenticated access",
chatbot-v0-1,v0,chatbot,security-headers,"","Response is missing referrer-policy",0.4,TP,"no design justification for unauthenticated access",
chatbot-v0-1,v0,chatbot,endpoint-auth,"app/api/chat/route.ts","route proxies a paid/third-party API with no auth (denial-of-wallet)",0.9,TP,"no design justification for unauthenticated access",
chatbot-v0-2,v0,chatbot,security-headers,"","Response is missing content-security-policy",0.9,TP,"no design justification for unauthenticated access",
chatbot-v0-2,v0,chatbot,security-headers,"","Response is missing strict-transport-security",0.7,TP,"no design justification for unauthenticated access",
chatbot-v0-2,v0,chatbot,security-headers,"","Response is missing x-frame-options",0.6,TP,"no design justification for unauthenticated access",
chatbot-v0-2,v0,chatbot,security-headers,"","Response is missing x-content-type-options",0.5,TP,"no design justification for unauthenticated access",
chatbot-v0-2,v0,chatbot,security-headers,"","Response is missing referrer-policy",0.4,TP,"no design justification for unauthenticated access",
chatbot-v0-2,v0,chatbot,endpoint-auth,"app/api/chat/route.ts","route proxies a paid/third-party API with no auth (denial-of-wallet)",0.9,TP,"no design justification for unauthenticated access",
chatbot-v0-3,v0,chatbot,security-headers,"","Response is missing content-security-policy",0.9,TP,"no design justification for unauthenticated access",
chatbot-v0-3,v0,chatbot,security-headers,"","Response is missing strict-transport-security",0.7,TP,"no design justification for unauthenticated access",
chatbot-v0-3,v0,chatbot,security-headers,"","Response is missing x-frame-options",0.6,TP,"no design justification for unauthenticated access",
chatbot-v0-3,v0,chatbot,security-headers,"","Response is missing x-content-type-options",0.5,TP,"no design justification for unauthenticated access",
chatbot-v0-3,v0,chatbot,security-headers,"","Response is missing referrer-policy",0.4,TP,"no design justification for unauthenticated access",
chatbot-v0-3,v0,chatbot,endpoint-auth,"app/api/chat/route.ts","route proxies a paid/third-party API with no auth (denial-of-wallet)",0.9,TP,"no design justification for unauthenticated access",
crud-bolt-1,bolt,crud,security-headers,"","Response is missing content-security-policy",0.9,TP,"no design justification for unauthenticated access",
crud-bolt-1,bolt,crud,security-headers,"","Response is missing strict-transport-security",0.7,TP,"no design justification for unauthenticated access",
crud-bolt-1,bolt,crud,security-headers,"","Response is missing x-frame-options",0.6,TP,"no design justification for unauthenticated access",
crud-bolt-1,bolt,crud,security-headers,"","Response is missing x-content-type-options",0.5,TP,"no design justification for unauthenticated access",
crud-bolt-1,bolt,crud,security-headers,"","Response is missing referrer-policy",0.4,TP,"no design justification for unauthenticated access",
crud-bolt-2,bolt,crud,security-headers,"","Response is missing content-security-policy",0.9,TP,"no design justification for unauthenticated access",
crud-bolt-2,bolt,crud,security-headers,"","Response is missing strict-transport-security",0.7,TP,"no design justification for unauthenticated access",
crud-bolt-2,bolt,crud,security-headers,"","Response is missing x-frame-options",0.6,TP,"no design justification for unauthenticated access",
crud-bolt-2,bolt,crud,security-headers,"","Response is missing x-content-type-options",0.5,TP,"no design justification for unauthenticated access",
crud-bolt-2,bolt,crud,security-headers,"","Response is missing referrer-policy",0.4,TP,"no design justification for unauthenticated access",
crud-bolt-3,bolt,crud,security-headers,"","Response is missing content-security-policy",0.9,TP,"no design justification for unauthenticated access",
crud-bolt-3,bolt,crud,security-headers,"","Response is missing strict-transport-security",0.7,TP,"no design justification for unauthenticated access",
crud-bolt-3,bolt,crud,security-headers,"","Response is missing x-frame-options",0.6,TP,"no design justification for unauthenticated access",
crud-bolt-3,bolt,crud,security-headers,"","Response is missing x-content-type-options",0.5,TP,"no design justification for unauthenticated access",
crud-bolt-3,bolt,crud,security-headers,"","Response is missing referrer-policy",0.4,TP,"no design justification for unauthenticated access",
crud-bolt-3,bolt,crud,storage-rules,"supabase/migrations/20260730061239_create_products_table.sql","permissive RLS policy (select) — public read via USING(true)",0.5,INTENDED?,"public read may be intended; write/delete is not — REVIEW",
crud-bolt-3,bolt,crud,storage-rules,"supabase/migrations/20260730061239_create_products_table.sql","permissive RLS policy (insert) — public write/delete via USING(true)",0.95,TP,"no design justification for unauthenticated access",
crud-bolt-3,bolt,crud,storage-rules,"supabase/migrations/20260730061239_create_products_table.sql","permissive RLS policy (update) — public write/delete via USING(true)",0.95,TP,"no design justification for unauthenticated access",
crud-bolt-3,bolt,crud,storage-rules,"supabase/migrations/20260730061239_create_products_table.sql","permissive RLS policy (delete) — public write/delete via USING(true)",0.95,TP,"no design justification for unauthenticated access",
crud-claude-1,claude,crud,security-headers,"","Response is missing content-security-policy",0.9,TP,"no design justification for unauthenticated access",
crud-claude-1,claude,crud,security-headers,"","Response is missing strict-transport-security",0.7,TP,"no design justification for unauthenticated access",
crud-claude-1,claude,crud,security-headers,"","Response is missing x-frame-options",0.6,TP,"no design justification for unauthenticated access",
crud-claude-1,claude,crud,security-headers,"","Response is missing x-content-type-options",0.5,TP,"no design justification for unauthenticated access",
crud-claude-1,claude,crud,security-headers,"","Response is missing referrer-policy",0.4,TP,"no design justification for unauthenticated access",
crud-claude-1,claude,crud,endpoint-auth,"server.js","route touches data with no visible auth check (write)",0.95,TP,"no design justification for unauthenticated access",
crud-claude-2,claude,crud,security-headers,"","Response is missing content-security-policy",0.9,TP,"no design justification for unauthenticated access",
crud-claude-2,claude,crud,security-headers,"","Response is missing strict-transport-security",0.7,TP,"no design justification for unauthenticated access",
crud-claude-2,claude,crud,security-headers,"","Response is missing x-frame-options",0.6,TP,"no design justification for unauthenticated access",
crud-claude-2,claude,crud,security-headers,"","Response is missing x-content-type-options",0.5,TP,"no design justification for unauthenticated access",
crud-claude-2,claude,crud,security-headers,"","Response is missing referrer-policy",0.4,TP,"no design justification for unauthenticated access",
crud-claude-2,claude,crud,endpoint-auth,"server.js","route touches data with no visible auth check (write)",0.95,TP,"no design justification for unauthenticated access",
crud-claude-3,claude,crud,security-headers,"","Response is missing content-security-policy",0.9,TP,"no design justification for unauthenticated access",
crud-claude-3,claude,crud,security-headers,"","Response is missing strict-transport-security",0.7,TP,"no design justification for unauthenticated access",
crud-claude-3,claude,crud,security-headers,"","Response is missing x-frame-options",0.6,TP,"no design justification for unauthenticated access",
crud-claude-3,claude,crud,security-headers,"","Response is missing x-content-type-options",0.5,TP,"no design justification for unauthenticated access",
crud-claude-3,claude,crud,security-headers,"","Response is missing referrer-policy",0.4,TP,"no design justification for unauthenticated access",
crud-claude-3,claude,crud,endpoint-auth,"server.js","route touches data with no visible auth check (write)",0.95,TP,"no design justification for unauthenticated access",
crud-lovable-1,lovable,crud,security-headers,"","Response is missing content-security-policy",0.9,TP,"no design justification for unauthenticated access",
crud-lovable-1,lovable,crud,security-headers,"","Response is missing strict-transport-security",0.7,TP,"no design justification for unauthenticated access",
crud-lovable-1,lovable,crud,security-headers,"","Response is missing x-frame-options",0.6,TP,"no design justification for unauthenticated access",
crud-lovable-1,lovable,crud,security-headers,"","Response is missing x-content-type-options",0.5,TP,"no design justification for unauthenticated access",
crud-lovable-1,lovable,crud,security-headers,"","Response is missing referrer-policy",0.4,TP,"no design justification for unauthenticated access",
crud-lovable-1,lovable,crud,storage-rules,"supabase/migrations/20260726230559_113e71ce-9ee4-48ba-a309-26f255ecc574.sql","permissive RLS policy (select) — public read via USING(true)",0.5,INTENDED?,"public read may be intended; write/delete is not — REVIEW",
crud-lovable-1,lovable,crud,storage-rules,"supabase/migrations/20260726230559_113e71ce-9ee4-48ba-a309-26f255ecc574.sql","permissive RLS policy (insert) — public write/delete via USING(true)",0.95,TP,"no design justification for unauthenticated access",
crud-lovable-1,lovable,crud,storage-rules,"supabase/migrations/20260726230559_113e71ce-9ee4-48ba-a309-26f255ecc574.sql","permissive RLS policy (update) — public write/delete via USING(true)",0.95,TP,"no design justification for unauthenticated access",
crud-lovable-1,lovable,crud,storage-rules,"supabase/migrations/20260726230559_113e71ce-9ee4-48ba-a309-26f255ecc574.sql","permissive RLS policy (delete) — public write/delete via USING(true)",0.95,TP,"no design justification for unauthenticated access",
crud-lovable-2,lovable,crud,security-headers,"","Response is missing content-security-policy",0.9,TP,"no design justification for unauthenticated access",
crud-lovable-2,lovable,crud,security-headers,"","Response is missing strict-transport-security",0.7,TP,"no design justification for unauthenticated access",
crud-lovable-2,lovable,crud,security-headers,"","Response is missing x-frame-options",0.6,TP,"no design justification for unauthenticated access",
crud-lovable-2,lovable,crud,security-headers,"","Response is missing x-content-type-options",0.5,TP,"no design justification for unauthenticated access",
crud-lovable-2,lovable,crud,security-headers,"","Response is missing referrer-policy",0.4,TP,"no design justification for unauthenticated access",
crud-lovable-2,lovable,crud,storage-rules,"supabase/migrations/20260726231444_2c83669e-0748-4a48-8e8c-4819b058784c.sql","permissive RLS policy (select) — public read via USING(true)",0.5,INTENDED?,"public read may be intended; write/delete is not — REVIEW",
crud-lovable-2,lovable,crud,storage-rules,"supabase/migrations/20260726231444_2c83669e-0748-4a48-8e8c-4819b058784c.sql","permissive RLS policy (insert) — public write/delete via USING(true)",0.95,TP,"no design justification for unauthenticated access",
crud-lovable-2,lovable,crud,storage-rules,"supabase/migrations/20260726231444_2c83669e-0748-4a48-8e8c-4819b058784c.sql","permissive RLS policy (update) — public write/delete via USING(true)",0.95,TP,"no design justification for unauthenticated access",
crud-lovable-2,lovable,crud,storage-rules,"supabase/migrations/20260726231444_2c83669e-0748-4a48-8e8c-4819b058784c.sql","permissive RLS policy (delete) — public write/delete via USING(true)",0.95,TP,"no design justification for unauthenticated access",
crud-lovable-3,lovable,crud,security-headers,"","Response is missing content-security-policy",0.9,TP,"no design justification for unauthenticated access",
crud-lovable-3,lovable,crud,security-headers,"","Response is missing strict-transport-security",0.7,TP,"no design justification for unauthenticated access",
crud-lovable-3,lovable,crud,security-headers,"","Response is missing x-frame-options",0.6,TP,"no design justification for unauthenticated access",
crud-lovable-3,lovable,crud,security-headers,"","Response is missing x-content-type-options",0.5,TP,"no design justification for unauthenticated access",
crud-lovable-3,lovable,crud,security-headers,"","Response is missing referrer-policy",0.4,TP,"no design justification for unauthenticated access",
crud-lovable-3,lovable,crud,storage-rules,"supabase/migrations/20260726232155_94f70311-e26d-47ad-b563-2e1c5659e57a.sql","permissive RLS policy (select) — public read via USING(true)",0.5,INTENDED?,"public read may be intended; write/delete is not — REVIEW",
crud-lovable-3,lovable,crud,storage-rules,"supabase/migrations/20260726232155_94f70311-e26d-47ad-b563-2e1c5659e57a.sql","permissive RLS policy (insert) — public write/delete via USING(true)",0.95,TP,"no design justification for unauthenticated access",
crud-lovable-3,lovable,crud,storage-rules,"supabase/migrations/20260726232155_94f70311-e26d-47ad-b563-2e1c5659e57a.sql","permissive RLS policy (update) — public write/delete via USING(true)",0.95,TP,"no design justification for unauthenticated access",
crud-lovable-3,lovable,crud,storage-rules,"supabase/migrations/20260726232155_94f70311-e26d-47ad-b563-2e1c5659e57a.sql","permissive RLS policy (delete) — public write/delete via USING(true)",0.95,TP,"no design justification for unauthenticated access",
crud-replit-1,replit,crud,security-headers,"","Response is missing content-security-policy",0.9,TP,"no design justification for unauthenticated access",
crud-replit-1,replit,crud,security-headers,"","Response is missing strict-transport-security",0.7,TP,"no design justification for unauthenticated access",
crud-replit-1,replit,crud,security-headers,"","Response is missing x-frame-options",0.6,TP,"no design justification for unauthenticated access",
crud-replit-1,replit,crud,security-headers,"","Response is missing x-content-type-options",0.5,TP,"no design justification for unauthenticated access",
crud-replit-1,replit,crud,security-headers,"","Response is missing referrer-policy",0.4,TP,"no design justification for unauthenticated access",
crud-replit-1,replit,crud,cors-tighten,"artifacts/api-server/src/app.ts:28","permissive CORS (cors-bare)",0.7,TP,"no design justification for unauthenticated access",
crud-replit-1,replit,crud,endpoint-auth,"artifacts/api-server/src/routes/health.ts","route touches data with no visible auth check (read)",0.7,INTENDED,"healthcheck endpoint is public by design",
crud-replit-1,replit,crud,endpoint-auth,"artifacts/api-server/src/routes/products.ts","route touches data with no visible auth check (write)",0.95,TP,"no design justification for unauthenticated access",
crud-replit-2,replit,crud,security-headers,"","Response is missing content-security-policy",0.9,TP,"no design justification for unauthenticated access",
crud-replit-2,replit,crud,security-headers,"","Response is missing strict-transport-security",0.7,TP,"no design justification for unauthenticated access",
crud-replit-2,replit,crud,security-headers,"","Response is missing x-frame-options",0.6,TP,"no design justification for unauthenticated access",
crud-replit-2,replit,crud,security-headers,"","Response is missing x-content-type-options",0.5,TP,"no design justification for unauthenticated access",
crud-replit-2,replit,crud,security-headers,"","Response is missing referrer-policy",0.4,TP,"no design justification for unauthenticated access",
crud-replit-2,replit,crud,cors-tighten,"artifacts/api-server/src/app.ts:28","permissive CORS (cors-bare)",0.7,TP,"no design justification for unauthenticated access",
crud-replit-2,replit,crud,endpoint-auth,"artifacts/api-server/src/routes/health.ts","route touches data with no visible auth check (read)",0.7,INTENDED,"healthcheck endpoint is public by design",
crud-replit-2,replit,crud,endpoint-auth,"artifacts/api-server/src/routes/products.ts","route touches data with no visible auth check (write)",0.95,TP,"no design justification for unauthenticated access",
crud-replit-3,replit,crud,security-headers,"","Response is missing content-security-policy",0.9,TP,"no design justification for unauthenticated access",
crud-replit-3,replit,crud,security-headers,"","Response is missing strict-transport-security",0.7,TP,"no design justification for unauthenticated access",
crud-replit-3,replit,crud,security-headers,"","Response is missing x-frame-options",0.6,TP,"no design justification for unauthenticated access",
crud-replit-3,replit,crud,security-headers,"","Response is missing x-content-type-options",0.5,TP,"no design justification for unauthenticated access",
crud-replit-3,replit,crud,security-headers,"","Response is missing referrer-policy",0.4,TP,"no design justification for unauthenticated access",
crud-replit-3,replit,crud,cors-tighten,"artifacts/api-server/src/app.ts:28","permissive CORS (cors-bare)",0.7,TP,"no design justification for unauthenticated access",
crud-replit-3,replit,crud,endpoint-auth,"artifacts/api-server/src/routes/health.ts","route touches data with no visible auth check (read)",0.7,INTENDED,"healthcheck endpoint is public by design",
crud-replit-3,replit,crud,endpoint-auth,"artifacts/api-server/src/routes/products.ts","route touches data with no visible auth check (write)",0.95,TP,"no design justification for unauthenticated access",
crud-v0-1,v0,crud,security-headers,"","Response is missing content-security-policy",0.9,TP,"no design justification for unauthenticated access",
crud-v0-1,v0,crud,security-headers,"","Response is missing strict-transport-security",0.7,TP,"no design justification for unauthenticated access",
crud-v0-1,v0,crud,security-headers,"","Response is missing x-frame-options",0.6,TP,"no design justification for unauthenticated access",
crud-v0-1,v0,crud,security-headers,"","Response is missing x-content-type-options",0.5,TP,"no design justification for unauthenticated access",
crud-v0-1,v0,crud,security-headers,"","Response is missing referrer-policy",0.4,TP,"no design justification for unauthenticated access",
crud-v0-1,v0,crud,endpoint-auth,"app/actions/products.ts","action touches data with no visible auth check (write)",0.95,TP,"no design justification for unauthenticated access",
crud-v0-2,v0,crud,security-headers,"","Response is missing content-security-policy",0.9,TP,"no design justification for unauthenticated access",
crud-v0-2,v0,crud,security-headers,"","Response is missing strict-transport-security",0.7,TP,"no design justification for unauthenticated access",
crud-v0-2,v0,crud,security-headers,"","Response is missing x-frame-options",0.6,TP,"no design justification for unauthenticated access",
crud-v0-2,v0,crud,security-headers,"","Response is missing x-content-type-options",0.5,TP,"no design justification for unauthenticated access",
crud-v0-2,v0,crud,security-headers,"","Response is missing referrer-policy",0.4,TP,"no design justification for unauthenticated access",
crud-v0-2,v0,crud,endpoint-auth,"app/actions/products.ts","action touches data with no visible auth check (write)",0.95,TP,"no design justification for unauthenticated access",
crud-v0-3,v0,crud,security-headers,"","Response is missing content-security-policy",0.9,TP,"no design justification for unauthenticated access",
crud-v0-3,v0,crud,security-headers,"","Response is missing strict-transport-security",0.7,TP,"no design justification for unauthenticated access",
crud-v0-3,v0,crud,security-headers,"","Response is missing x-frame-options",0.6,TP,"no design justification for unauthenticated access",
crud-v0-3,v0,crud,security-headers,"","Response is missing x-content-type-options",0.5,TP,"no design justification for unauthenticated access",
crud-v0-3,v0,crud,security-headers,"","Response is missing referrer-policy",0.4,TP,"no design justification for unauthenticated access",
crud-v0-3,v0,crud,endpoint-auth,"app/actions/products.ts","action touches data with no visible auth check (write)",0.95,TP,"no design justification for unauthenticated access",
file-bolt-1,bolt,file,security-headers,"","Response is missing content-security-policy",0.9,TP,"no design justification for unauthenticated access",
file-bolt-1,bolt,file,security-headers,"","Response is missing strict-transport-security",0.7,TP,"no design justification for unauthenticated access",
